resena_id,atributo,n_frases,s0,s1,s2,s3,s4,sentimiento,bodega,puntuacion
ChZDSUhNMG9nS0VJQ0FnSUM2Z3BxVmRBEAE,Personal y trato,1,0.001536,0.001312,0.012245,0.191752,0.793154,4.774,Bodegas Manuel Aragón,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2Z3BxVmRBEAE,Vino y cata,1,0.001536,0.001312,0.012245,0.191752,0.793154,4.774,Bodegas Manuel Aragón,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2a1B1MU1BEAE,Vino y cata,1,0.01536,0.02102,0.126038,0.40666,0.430922,4.217,Cooperativa De Viticultores Chiclaneros,4.0
ChZDSUhNMG9nS0VJQ0FnSUM2ajRyU0tREAE,Vino y cata,1,0.327341,0.200413,0.17015,0.15586,0.146236,2.593,Bodegas Osborne,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2ajRyU0tREAE,Visita y experiencia,1,0.327341,0.200413,0.17015,0.15586,0.146236,2.593,Bodegas Osborne,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2b2REME9REAE,Instalaciones,1,0.000965,0.000792,0.004272,0.083007,0.910965,4.902,Bodegas Luis Pérez,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2b2REME9REAE,Vino y cata,1,0.000965,0.000792,0.004272,0.083007,0.910965,4.902,Bodegas Luis Pérez,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2bGRud0F3EAE,Visita y experiencia,1,0.00342,0.003777,0.052395,0.398841,0.541566,4.471,Bodegas González Byass – Tío Pepe,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2bmZxbVhREAE,Organización y reserva,1,0.459791,0.294233,0.157874,0.048945,0.039157,1.913,Bodegas Osborne,3.0
ChZDSUhNMG9nS0VJQ0FnSUM2bnJ2Tld3EAE,Vino y cata,1,0.006176,0.007503,0.050612,0.286917,0.648791,4.565,Cooperativa De Viticultores Chiclaneros,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2c0x1OUZREAE,Instalaciones,1,0.002267,0.001928,0.010556,0.126139,0.85911,4.838,Bodegas Hidalgo – La Gitana,5.0
ChZDSUhNMG9nS0VJQ0FnSUM2c0x1OUZREAE,Personal y trato,1,0.002267,0.001928,0.010556,0.126139,0.85911,4.838,Bodegas Hidalgo – La Gitana,5.0
